id,created,updated,title,content,tags,product,topic,locale,answers,creator
1287633,2020-05-20 11:07:17 -0800,2020-05-20T11:24:30Z,Firefox closes immediately it opens,"<p>I use Firefox to download a file from Internet by means of the command Shell of VBA, i.e : </p><p>Shell (""C:\Program Files\Mozilla Firefox\firefox.exe"" &amp; "" -url https://FileName.exe"") </p><p>and curiously sometimes the FileName is downloaded without problems and the next time I try to download it, it  appears a warning indicating Firefox has closed unexpectedly. And of course, the next time I try to download the file,  it is dowloaded again without problems and the story is repeated continuously. </p>",fix-problems;desktop;firefox-760;windows-7;,firefox,fix-problems,en-US,1314358;,jazzjom
1287630,2020-05-20 10:47:51 -0800,2020-05-21T03:35:24Z,Account Sync not working,"<p>I Reinstalled my pc,  and I had my account  in a virtual  machine, so now I cannot  have all the bookmarks and   things that  I had, please help. </p>",sync;desktop;firefox-760;windows-10;,firefox,sync,en-US,1314350;1314532;1314541;1314542;,oriolauge234
1287629,2020-05-20 10:45:27 -0800,2020-05-20T10:45:27Z,Certificates,"<p>Hola, estoy intentando instalar un certificado digital en Firefox, descargué el certificado (.crt) desde google chrome, pero necesito hacer un tramite que solo se permite en firefox. Cuándo voy a improtar el archivo en la pestaña ""sus certificados"" no puedo seleccionar el archivo .crt. Hay alguna manera de convertir este certificado de .crt para un formato adecuado? </p>",firefox-680;desktop;privacy-and-security_1;mac-os;,firefox,privacy-and-security,es,"",hugo.g.garza
1287626,2020-05-20 10:12:29 -0800,2020-05-20T10:12:29Z,Crash at startup if Firefox not properly quit before shutdown Debian Buster,"<p>Hello, </p><p>One of my last Crash ID report : 49e3c347-5deb-4659-b9d1-281b00200514 </p><p>I experiment this problem on two of my computers. Both are running Debian Buster. If I don't forget to quit Firefox before shutting down my computer, then I believe I won't have problem the next time I switch on my computer and launch Firefox. </p><p>However, as most of the time, if I shutdown my computer with Firefox still being open, it seems that Debian Buster doesn't close properly Firefox. In fact, if Firefox was still open when I switch off my computer, I can be sure (100% of the time) that at the next startup, Firefox won't be able to launch the previous session and I'll have to ""restore my last tabs"". </p><p>No other software seem to suffer from the way Debian Buster switch off. Only Firefox. </p><p>Thank you for any help one could give me, </p><p>Regards, Thatoo </p>",firefox-680;desktop;fix-problems;linux;,firefox,fix-problems,en-US,"",Thatoo
1287625,2020-05-20 10:03:45 -0800,2020-05-20T13:45:45Z,Disable Web Push Notification Icon completely,"<p>I've read this article: <a href=""https://support.mozilla.org/en-US/kb/push-notifications-firefox"" rel=""nofollow"">https://support.mozilla.org/en-US/kb/push-notifications-firefox</a> </p><p>It tells me how to disable new notification requests, however when I go to website, the icon still appears. The icon still wiggles. I want to remove this ENTIRELY. Under no circumstances do I ever want to know anything about any website with notifications. It should be 100% removed because it is trash feature from trash companies. </p>",customize;desktop;,firefox,customize,en-US,1314361;1314363;1314378;1314397;1314401;,mjm.fakebook
1287624,2020-05-20 09:53:50 -0800,2020-05-20T09:53:50Z,"Auto-update consequences: Unwanted (regional) search engines, despite having en-US set as my locale, and partially reset browser settings","<p>Hello everyone, </p><p>Today my Windows 10 and Firefox browser have automatically updated themselves, which is totally fine, however, to my shock, when I started the browser, I found out that my default search engine was replaced by ""Yandex"", as well as ""eBay"" was added to the list of search engines, and I always had only Google (default), Bing and DuckDuckGo. I did not consent to this, nor I was warned that was going to happen. It's important to note that while I'm currently residing in Russia and therefore have a Russian IP address, all my programs, my OS and Firefox were set to use English as the default and only language, and I had everything pointing to United States as my only choice of region/location/language in the Windows regional settings. Also, further digging reveled that these were not the only settings that were reset. Among them were ALL privacy settings, toolbar &amp; UI customizations, and Pocket has raised from the dead, despite being completely switched off with about:config settings. And I am yet to discover how many other about:config settings were reset as well. The history, downloads and bookmarks all seem to be unaffected and in place and order. </p><p>I know what the first reply is going to be: ""You've got a virus, bud"", but before anyone jumps to a conclusion that I've indeed got a virus/malware/whatever, absolutely the same thing has happened on my Linux install as well. No, it isn't a virus, at least on my end. It appears that Mozilla is the one engaging in such behavior. How else would you explain that both installs, one of which came from the official Mozilla's FTP, and the other one is from the official Arch repos, are both poisoned by this?! And guess what, I tried to replicate this in a virtual machine — absolutely the same result! All of the regional settings and the guest OS are set to English (United States), but I still get what I now call a ""regional inconvenience and overall experience downgrade pack"". </p><p>I'd really like to hear an explanation as to why this happens and possibly have a responsible person's attention to the matter, or at least be able to file a bug report (if it is a bug, which I doubt it is — take a look at the paragraph above). But regardless of that I believe that such behavior on Mozilla's end is intolerable, infuriating and disrespectful to both users' settings and the users themselves, which is not how I remember Mozilla, when I started using Firefox (that was around when 1.5 came out). </p><p>Now, a message to Mozilla: If this continues, and if this is how Mozilla envisioned the future of Firefox, I'm afraid it's time for us to part ways and either use a fork that doesn't do this, or join the evil forces of IE6 2.0... whoops, I meant Chromium/Blink. </p><p>You were indeed fighting for our freedoms back in the day, but apparently you are now fighting only for your monetary gains by pre-installing such regional inconvenience and overall experience downgrade packs. If I have an English (US) OS, but live in another country, I still want to have the same experience as English (US) users who are in the US. I don't need such ""convenience"". You need to understand something: nobody does! If they do have an urge to use a vanda...-""regionalized"" browser; they'd download an appropriate version and happily use it with their favorite search engine! Whereas me, and people like me can't, because you are forcing the same experience onto us. I've spent 15 years with Firefox and I wouldn't want to abandon using this amazing browser, but please, change your ways and consider your partnerships. Otherwise I want to do nothing with a browser that respects neither my settings, nor me. </p>",download-and-install_1;firefox-7601;desktop;firefox-760;windows-10;,firefox,download-and-install,en-US,"",consulcmb
1287622,2020-05-20 09:46:57 -0800,2020-05-20T15:27:35Z,"My logins are still available, even after I cleared ""Everything"" history; signed out of my Fox sync account; cleared ""Cookies and Site Data""","<p>My logins (username/email addresses &amp; Passwords) are still available, even after I cleared ""Everything"" history; signed out of my Fox sync account; cleared ""Cookies and Site Data"". </p><p>So for example, after doing the above, I'm now logged out of my gmail account, but if someone steps in front of the computer I was using, runs Firefox, and goes to <a href=""http://Gmail.com"" rel=""nofollow"">Gmail.com</a>, they can see all the gmail accounts I have and can log in to them. </p><p>How can I remove all logins from the Firefox browser on the public computer? </p><p>Firefox 76.0 Windows 10 </p>",privacy-and-security_1;desktop;,firefox,privacy-and-security,en-US,1314314;1314316;1314344;1314416;1314428;,msupp.9a
1287620,2020-05-20 09:29:33 -0800,2020-05-20T10:17:01Z,Microphone in Linux does not work correctly.,<p>Ever since I can remember I have never got the microphone to work correctly in Firefox 76.0 under GNU/Linux (x64_x86). After many years I now tried a site where I can record from my mic and I noticed that the sound is mostly heard at the beginning of words and static when I do not talk. It is if there is noise reduction or some kind of threshold ( inverted gate/expander) killing everything above a certain level.  </p><p>In other apps it works without changing a single parameter in ALSA or Pulseaudio and letting them use the exact same settings as when trying it out in Firefox. </p>,fix-problems;desktop;firefox-760;linux;,firefox,fix-problems,en-US,1314298;1314324;,rickard.gerthsson
1287618,2020-05-20 09:23:04 -0800,2020-05-20T09:23:04Z,Show Firefox Menu bar permanently in full screen on Mac. Hiding & popping out of view.  menubar macbook,"<p>Hi.   How do I make the menu bar stay in view, permanently?  The Menu bar hides when cursor isn't at the top of the screen. When the cursor is at the top of the screen, it triggers the menu bar to unhide; resulting in it partially covering where I want to click or type. This popping in and out behaviour is annoying, distracting and I'm constantly finely repositioning my cursor to get functionality.  Disabling full screen mode isn't effective because then the web page isn't large enough to be viewed functionally.  I need the menu bar to be permanently in view while in full screen.  Macbook Air Catalina.  Firefoxversion 76.0.1 Re: Menu bar (file edit view history tools etc.) Thank-you </p>",firefox-ios-not-working-expected;ios;,firefox,fix-problems,en-US,"",ms.selbee
1287617,2020-05-20 09:00:40 -0800,2020-05-20T09:33:16Z,"This page is fine but when I normally use Firefox the font size seen is too big, appears to be about 16 or so.  How can I reduce it?",<p><strong>bold text</strong> </p>,customize;desktop;firefox-760;windows-10;,firefox,customize,en-US,1314299;,wejoycesrgo
