question_url, question_created, answer_url, answer_creator, answer_created
https://support.mozilla.org/questions/1280334,2020-02-20 09:28:36 -0800,https://support.mozilla.org/questions/1280334#answer-1291996,cor-el,2020-02-20 11:00:36 -0800
https://support.mozilla.org/questions/1280334,2020-02-20 09:28:36 -0800,https://support.mozilla.org/questions/1280334#answer-1291973,cor-el,2020-02-20 10:32:07 -0800
https://support.mozilla.org/questions/1280333,2020-02-20 09:24:36 -0800,https://support.mozilla.org/questions/1280333#answer-1292173,cor-el,2020-02-20 18:58:13 -0800
https://support.mozilla.org/questions/1280333,2020-02-20 09:24:36 -0800,https://support.mozilla.org/questions/1280333#answer-1291959,McCoy-thereal,2020-02-20 09:50:52 -0800
https://support.mozilla.org/questions/1280330,2020-02-20 09:05:35 -0800,https://support.mozilla.org/questions/1280330#answer-1291966,cor-el,2020-02-20 10:17:13 -0800
https://support.mozilla.org/questions/1280327,2020-02-20 08:53:11 -0800,https://support.mozilla.org/questions/1280327#answer-1291955,ajwagen,2020-02-20 09:30:49 -0800
https://support.mozilla.org/questions/1280327,2020-02-20 08:53:11 -0800,https://support.mozilla.org/questions/1280327#answer-1291954,ufo.master,2020-02-20 09:27:19 -0800
https://support.mozilla.org/questions/1280327,2020-02-20 08:53:11 -0800,https://support.mozilla.org/questions/1280327#answer-1291951,btcyanide,2020-02-20 09:23:13 -0800
https://support.mozilla.org/questions/1280327,2020-02-20 08:53:11 -0800,https://support.mozilla.org/questions/1280327#answer-1291948,ufo.master,2020-02-20 09:14:23 -0800
https://support.mozilla.org/questions/1280326,2020-02-20 08:48:19 -0800,https://support.mozilla.org/questions/1280326#answer-1292248,My_Cheese_Is_Slippin,2020-02-21 06:36:23 -0800
https://support.mozilla.org/questions/1280325,2020-02-20 08:42:15 -0800,https://support.mozilla.org/questions/1280325#answer-1292048,jscher2000,2020-02-20 12:06:16 -0800
https://support.mozilla.org/questions/1280325,2020-02-20 08:42:15 -0800,https://support.mozilla.org/questions/1280325#answer-1292029,cor-el,2020-02-20 11:42:41 -0800
https://support.mozilla.org/questions/1280325,2020-02-20 08:42:15 -0800,https://support.mozilla.org/questions/1280325#answer-1292001,fredmcd-hotmail,2020-02-20 11:04:31 -0800
https://support.mozilla.org/questions/1280322,2020-02-20 08:21:31 -0800,https://support.mozilla.org/questions/1280322#answer-1291939,evhenry,2020-02-20 08:29:48 -0800
https://support.mozilla.org/questions/1280321,2020-02-20 07:53:16 -0800,https://support.mozilla.org/questions/1280321#answer-1292388,cor-el,2020-02-21 16:18:33 -0800
https://support.mozilla.org/questions/1280321,2020-02-20 07:53:16 -0800,https://support.mozilla.org/questions/1280321#answer-1292032,cor-el,2020-02-20 11:46:06 -0800
https://support.mozilla.org/questions/1280321,2020-02-20 07:53:16 -0800,https://support.mozilla.org/questions/1280321#answer-1292002,jscher2000,2020-02-20 11:05:56 -0800
https://support.mozilla.org/questions/1280321,2020-02-20 07:53:16 -0800,https://support.mozilla.org/questions/1280321#answer-1291972,fredmcd-hotmail,2020-02-20 10:29:38 -0800
https://support.mozilla.org/questions/1280321,2020-02-20 07:53:16 -0800,https://support.mozilla.org/questions/1280321#answer-1291929,fredmcd-hotmail,2020-02-20 08:00:02 -0800
https://support.mozilla.org/questions/1280321,2020-02-20 07:53:16 -0800,https://support.mozilla.org/questions/1280321#answer-1291928,fredmcd-hotmail,2020-02-20 07:58:38 -0800
https://support.mozilla.org/questions/1280320,2020-02-20 07:44:34 -0800,https://support.mozilla.org/questions/1280320#answer-1292081,cor-el,2020-02-20 13:29:15 -0800
https://support.mozilla.org/questions/1280320,2020-02-20 07:44:34 -0800,https://support.mozilla.org/questions/1280320#answer-1292060,cor-el,2020-02-20 12:42:48 -0800
https://support.mozilla.org/questions/1280320,2020-02-20 07:44:34 -0800,https://support.mozilla.org/questions/1280320#answer-1291983,cor-el,2020-02-20 10:46:39 -0800
https://support.mozilla.org/questions/1280320,2020-02-20 07:44:34 -0800,https://support.mozilla.org/questions/1280320#answer-1291958,jscher2000,2020-02-20 09:48:01 -0800
https://support.mozilla.org/questions/1280320,2020-02-20 07:44:34 -0800,https://support.mozilla.org/questions/1280320#answer-1291920,jscher2000,2020-02-20 07:48:46 -0800
https://support.mozilla.org/questions/1280319,2020-02-20 07:39:16 -0800,https://support.mozilla.org/questions/1280319#answer-1291923,jscher2000,2020-02-20 07:54:34 -0800
